dataset.format_name,dataset.display_name (series title),dataset.source,dataset.dbxref_id,dataset.dbxref_type,assay name,dataset.assay_id (obi_id),taxon_id,dataset.channel_count,dataset.sample_count,dataset.is_in_spell,dataset.is_in_browser,dataset.description (series_summary),datasetlab.lab_name,datasetlab.lab_location,keywords (|),pmids (|),dbentity.display_name,dataset_url.obj_url,dataset_url.url_type
GSE49026,SMORE-seq maps both ends of transcripts and identifies widespread promoter-associated non-coding RNA governed by TATA elements.,GEO,GSE49026,GEO,RNA-seq assay,OBI:0001271,4932,,2,0,1,SMORE-seq (Simultaneous Mapping Of RNA Ends by sequencing) is developed to simultaneously identify the strongest TSS (Transcription Start Site) and PAS (Polyadenylation Site),"Iyer, VR",University of Texas,transcription|mRNA processing,24413663,Park_2014_PMID_24413663.zip,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE49nnn/GSE49026/,GEO
E-MTAB-1316,Genome-wide measurement of whole transcriptome versus histone modified mutants,ArrayExpress,E-MTAB-1316,ArrayExpress,ChIP-chip assay,OBI:0001248,4932,,4,0,1,Role of histone modifications and early termination in pervasive transcription and antisense-mediated gene silencing in yeast; Cryptic Unstable Transcripts (CUTs) mapping,"Stutz, F",University of Geneva|Stanford University,transcriptional regulation|histone modification,24497191,Castelnuovo_2014_PMID_24497191.zip,https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1316/files/,ArrayExpress
GSE52286,Average half-lives of mRNA 3'isoforms,GEO,GSE52286,GEO,RNA-seq assay,OBI:0001271,4932,,1,0,1,"Half-lives of 21,248 mRNA 3_ isoforms in yeast were measured by rapidly depleting RNA polymerase II from the nucleus and performing direct RNA sequencing throughout the decay process.","Struhl, K",Harvard University,RNA catabolism,24529382,Geisberg_2014_PMID_24529382.zip,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52286/,GEO
GSE47023,Genome-wide measurement of nucleosome occupancy during cell aging,GEO,GSE47023,GEO,MNase-seq assay,OBI:0001924,4932,,5,0,1,Nucleosome loss leads to global transcriptional up-regulation and genomic instability during yeast aging,"Tyler, JK",University of Texas,chromatin organization,24532716,Hu_2014_PMID_24532716.zip,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47023/,GEO
PRJNA245106,Identification of genome-wide transcripts; looking at nonsense-mediated RNA decay pathway,SRA,PRJNA245106,SRA,RNA-seq assay,OBI:0001271,4932,,2,0,1,Translation of small open reading frames (> 200 nucleotides) within unannotated RNA transcripts in Saccharomyces cerevisiae; unannotated RNAs,"Baker, KE",Case Western Reserve University,RNA catabolism,24931603,Smith_2014_PMID_24931603.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA245106,SRA
Kang_2015_PMID_25213602,Genome-wide transcript profiling by paired-end ditag sequencing,SGD,,,RNA-seq assay,OBI:0001271,4932,,3,0,1,Newly identified novel transcripts by polyA sequence,"Zhao, X",Shanghai Jiao Tong University,transcription,25213602,Kang_2015_PMID_25213602.zip,,
GSE56435,Genome-wide identification of transcription terminations sites; pA pathway and non-polyadenylation pathway in strains missing Sen1p or Nrd1p,GEO,GSE56435,GEO,CLIP-seq assay (cross-linking immunoprecipitation),OBI:0001858,4932,,10,0,1,"Genome-wide mapping of yeast RNA polymerase II termination on minus strand in Nrd1p-FRB strain, no rapamycin","Corden, JL.",Johns Hopkins Medical School,transcriptional regulation,25299594,Schaughency_2014_PMID_25299594.zip,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56435/,GEO
GSE53420,Genome-wide identification of Rnase H targets; looking at R-loops,GEO,GSE53420,GEO,ChIP-seq assay,OBI:0000716,4932,,4,0,1,Genome-wide distribution of RNA-DNA hybrids identifies RNase H targets in tRNA genes retrotransposons and mitochondria.,"Tollervey, D",University of Edinburgh,transcriptional regulation,25357144,El Hage_2014_PMID_25357144.zip,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53420/,GEO
GSE61888,Examining chromatin dynamics through genome-wide mapping of 26 histone modifications at 0 4 8 15 30 and 60 minutes after diamide addition using MNase-ChIP,GEO,GSE61888,GEO,ChIP-seq assay,OBI:0000716,4932,,156,0,1,High resolution chromosome dynamics time course of h2ak5ac; 0 to 60 minutes after daimide addition,"Friedman, N",The Hebrew University,histone modification,25801168,Weiner_2015_PMID_25801168.zip,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61888/,GEO
GSE98031,NMP adenine lesions on the minus strand in mag1 deletion strain under methyl methanesulfonate (MMS)-induced alkylation over 2 hour time course,GEO,GSE98031,GEO,DNA methylation sequencing assay,OBI:0001266,4932,,24,0,1,Map of N-methylpurine (NMP) lesion alkalation damage across the yeast genome,"Wyrick, JJ",Washington State University,"DNA replication, recombination and repair",28912372,Mao_2017_PMID_28912372.zip,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98031/,GEO
GSE43747,"Mapped regions of untranslated, polyadenylated transcriptome bound by RNA-binding proteins (RBPs)",GEO,GSE43747,GEO,CLIP-seq assay (cross-linking immunoprecipitation),OBI:0001858,4932,,7,0,1,global PARCLIP RBP crosslinking sites for mid log phase cells in SD media,"Kim, JK","University of Michigan, Ann Arbor",transcription,23409723,Freeberg_2013_PMID_23409723.zip,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43747/,GEO
E-MTAB-4885,Rapid High-Resolution Functional Mapping of Yeast Genomes by Saturated Transposition,ArrayExpress,E-MTAB-4885,ArrayExpress,TN-seq assay,NTR:12,4932,,8,0,1,Functional mapping of yeast genomes by saturated transposition,"Kornmann, B",ETH Zurich,transposons,28481201,Michel_2017_PMID_28481201.zip,https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4885/files/,ArrayExpress
PRJNA183131,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA183131,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1078_Duke_2015_PRJNA183131.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA183131,SRA
PRJNA188959,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA188959,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1083_Duke_2015_PRJNA188959.tar.gz,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA188959,SRA
PRJNA189300,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189300,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1129_Duke_2015_PRJNA189300.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189300,SRA
PRJNA189881,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189881,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1133_Duke_2015_PRJNA189881.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189881,SRA
PRJNA189882,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189882,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1190_Duke_2015_PRJNA189882.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189882,SRA
PRJNA189883,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189883,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1199_Duke_2015_PRJNA189883.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189883,SRA
PRJNA189884,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189884,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1202_Duke_2015_PRJNA189884.tar.gz,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189884,SRA
PRJNA189885,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189885,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1208_Duke_2015_PRJNA189885.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189885,SRA
PRJNA189886,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189886,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1242_Duke_2015_PRJNA189886.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189886,SRA
PRJNA189887,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189887,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1244_Duke_2015_PRJNA189887.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189887,SRA
PRJNA189888,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189888,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1248_Duke_2015_PRJNA189888.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189888,SRA
PRJNA189889,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189889,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1250_Duke_2015_PRJNA189889.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189889,SRA
PRJNA189890,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189890,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1252_Duke_2015_PRJNA189890.tar.gz,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189890,SRA
PRJNA189891,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189891,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1273_Duke_2015_PRJNA189891.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189891,SRA
PRJNA189892,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189892,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1304_Duke_2015_PRJNA189892.tar.gz,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189892,SRA
PRJNA189893,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189893,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1307_Duke_2015_PRJNA189893.tar.gz,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189893,SRA
PRJNA189894,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189894,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1311_Duke_2015_PRJNA189894.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189894,SRA
PRJNA189895,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189895,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1326_Duke_2015_PRJNA189895.tar.gz,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189895,SRA
PRJNA189896,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189896,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1332_Duke_2015_PRJNA189896.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189896,SRA
PRJNA189897,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189897,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1336_Duke_2015_PRJNA189897.tar.gz,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189897,SRA
PRJNA189898,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189898,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1338_Duke_2015_PRJNA189898.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189898,SRA
PRJNA189899,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189899,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1341_Duke_2015_PRJNA189899.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189899,SRA
PRJNA189900,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189900,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1342_Duke_2015_PRJNA189900.tar.gz,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189900,SRA
PRJNA189901,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189901,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1355_Duke_2015_PRJNA189901.tar.gz,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189901,SRA
PRJNA189902,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189902,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1356_Duke_2015_PRJNA189902.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189902,SRA
PRJNA189903,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189903,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1381_Duke_2015_PRJNA189903.tar.gz,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189903,SRA
PRJNA189904,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189904,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1383_Duke_2015_PRJNA189904.tar.gz,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189904,SRA
PRJNA189905,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189905,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1385_Duke_2015_PRJNA189905.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189905,SRA
PRJNA189906,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189906,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1386_Duke_2015_PRJNA189906.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189906,SRA
PRJNA189907,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189907,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1387_Duke_2015_PRJNA189907.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189907,SRA
PRJNA189908,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189908,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1388_Duke_2015_PRJNA189908.tar.gz,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189908,SRA
PRJNA189909,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189909,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1389_Duke_2015_PRJNA189909.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189909,SRA
PRJNA189910,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189910,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1399_Duke_2015_PRJNA189910.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189910,SRA
PRJNA189911,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189911,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1400_Duke_2015_PRJNA189911.tar.gz,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189911,SRA
PRJNA189912,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189912,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1401_Duke_2015_PRJNA189912.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189912,SRA
PRJNA189913,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189913,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1402_Duke_2015_PRJNA189913.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189913,SRA
PRJNA189914,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189914,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1415_Duke_2015_PRJNA189914.tar.gz,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189914,SRA
PRJNA189915,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189915,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1417_Duke_2015_PRJNA189915.tar.gz,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189915,SRA
PRJNA189916,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189916,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1418_Duke_2015_PRJNA189916.tar.gz,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189916,SRA
PRJNA189917,"The 100-genomes strains, an S. cerevisiae resource that illuminates its natural phenotypic and genotypic variation and emergence as an opportunistic pathogen",SRA,PRJNA189917,SRA,whole genome sequencing assay,OBI:0002117,4932,,1,0,0,Sequence of multiple strains of the brewer's yeast Saccharomyces cerevisiae,"Dietrich, F",Duke University,genome variation,25840857,YJM1419_Duke_2015_PRJNA189917.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189917,SRA
